duration(s);cost;bonus;route
9.46;7082;31655;[0, 68, 65, 53, 57, 94, 82, 99, 76, 80, 90, 72, 74, 49, 88, 84, 75, 95, 51, 64, 97, 81, 62, 60, 58, 91, 96, 11, 67, 85, 61, 50, 86, 93, 70, 73, 52, 79, 77, 98, 66, 55, 92, 87, 56, 59, 89, 71, 78, 63, 54]
9.45;7093;31721;[0, 54, 94, 96, 11, 89, 71, 78, 83, 95, 75, 84, 88, 90, 72, 74, 49, 77, 66, 98, 63, 79, 65, 68, 57, 53, 82, 99, 76, 80, 58, 91, 73, 52, 59, 56, 87, 92, 55, 61, 85, 67, 64, 97, 81, 60, 70, 93, 86, 50, 34]
9.45;7078;31842;[0, 53, 57, 94, 82, 99, 49, 77, 87, 83, 58, 60, 62, 81, 97, 64, 67, 85, 61, 55, 92, 50, 86, 93, 70, 90, 80, 76, 56, 11, 96, 91, 73, 52, 84, 75, 95, 59, 89, 71, 78, 63, 68, 65, 79, 72, 74, 8, 98, 66, 54]
9.47;7116;31643;[0, 54, 63, 79, 77, 89, 71, 78, 83, 95, 5, 82, 49, 88, 90, 51, 81, 97, 64, 59, 56, 87, 92, 55, 61, 50, 66, 98, 96, 91, 67, 11, 68, 65, 53, 57, 94, 62, 60, 58, 80, 76, 86, 93, 70, 73, 52, 84, 75, 74, 72]
9.47;7082;31655;[0, 68, 65, 53, 57, 94, 82, 99, 76, 80, 90, 72, 74, 49, 88, 84, 75, 95, 51, 64, 97, 81, 62, 60, 58, 91, 96, 11, 67, 85, 61, 50, 86, 93, 70, 73, 52, 79, 77, 98, 66, 55, 92, 87, 56, 59, 89, 71, 78, 63, 54]
9.45;7068;31635;[0, 72, 74, 86, 50, 92, 87, 64, 62, 99, 76, 80, 58, 60, 81, 97, 89, 59, 56, 11, 68, 65, 85, 67, 55, 61, 71, 78, 83, 95, 75, 84, 52, 90, 88, 49, 77, 79, 63, 57, 94, 82, 53, 93, 70, 73, 91, 96, 98, 66, 54]
9.48;7129;31646;[0, 54, 74, 72, 90, 88, 68, 65, 53, 57, 6, 99, 76, 80, 82, 94, 96, 91, 58, 60, 81, 97, 89, 59, 56, 11, 85, 61, 50, 86, 93, 70, 73, 52, 78, 71, 67, 63, 79, 77, 98, 66, 55, 92, 87, 83, 95, 75, 84, 64, 62]
9.44;7090;31741;[0, 62, 70, 93, 86, 74, 72, 90, 88, 49, 77, 98, 66, 87, 64, 51, 95, 69, 75, 84, 52, 73, 80, 58, 60, 81, 50, 92, 55, 67, 85, 61, 96, 91, 78, 71, 89, 59, 56, 11, 68, 65, 79, 63, 57, 53, 76, 99, 82, 94, 54]
9.44;7119;31635;[0, 54, 63, 78, 91, 96, 11, 68, 65, 84, 75, 81, 50, 61, 55, 92, 79, 77, 98, 66, 87, 56, 59, 52, 73, 70, 93, 86, 76, 53, 82, 94, 62, 99, 49, 88, 90, 80, 58, 60, 57, 74, 72, 85, 67, 64, 97, 89, 71, 95, 83]
9.45;7082;31655;[0, 68, 65, 53, 57, 94, 82, 99, 76, 80, 90, 72, 74, 49, 88, 84, 75, 95, 51, 64, 97, 81, 62, 60, 58, 91, 96, 11, 67, 85, 61, 50, 86, 93, 70, 73, 52, 79, 77, 98, 66, 55, 92, 87, 56, 59, 89, 71, 78, 63, 54]
