duration(s);cost;bonus;route
2.45;3883;16666;[0, 3, 13, 7, 28, 27, 31, 29, 34, 6, 26, 32, 43, 19, 9, 38, 40, 5, 15, 2, 20, 21, 12, 48, 30, 35]
2.35;3695;16524;[0, 41, 48, 1, 18, 12, 24, 44, 10, 21, 22, 17, 43, 16, 35, 27, 36, 5, 3, 8, 34, 28, 49, 19]
2.27;3569;16426;[0, 17, 5, 3, 27, 18, 26, 7, 6, 2, 47, 32, 16, 30, 19, 39, 45, 1, 48, 20, 29, 10, 21, 28]
2.39;3816;16884;[0, 28, 30, 44, 13, 36, 27, 18, 45, 12, 1, 5, 35, 3, 8, 34, 42, 6, 26, 10, 46, 38, 14, 11, 19, 39]
2.42;3803;17485;[0, 17, 2, 1, 45, 12, 24, 31, 32, 16, 27, 36, 5, 3, 42, 48, 44, 29, 4, 26, 7, 43, 14, 19, 39, 28]
2.38;3651;16873;[0, 33, 36, 5, 3, 38, 44, 48, 1, 34, 47, 32, 16, 12, 26, 10, 21, 31, 42, 7, 28, 30, 25, 19, 39]
2.42;3844;17078;[0, 41, 9, 45, 32, 16, 35, 11, 47, 37, 1, 34, 18, 15, 33, 6, 21, 39, 17, 43, 3, 48, 46, 27, 28, 38]
2.22;3572;16467;[0, 17, 6, 1, 2, 44, 13, 31, 32, 16, 35, 25, 19, 39, 45, 21, 12, 29, 3, 48, 41, 38, 14]
2.42;3724;16476;[0, 3, 48, 25, 19, 39, 28, 38, 33, 14, 5, 24, 4, 8, 45, 37, 2, 34, 42, 6, 21, 36, 7, 16, 35, 49]
2.44;3827;17477;[0, 41, 44, 13, 12, 43, 36, 5, 38, 40, 17, 6, 26, 10, 7, 21, 39, 28, 49, 35, 22, 8, 37, 2, 1, 16]
2.40;3739;16747;[0, 28, 38, 5, 19, 25, 35, 27, 18, 12, 24, 42, 3, 48, 6, 2, 22, 30, 32, 16, 40, 10, 21, 8, 34]
2.46;3910;16697;[0, 4, 29, 39, 8, 18, 40, 5, 43, 9, 33, 22, 35, 11, 32, 16, 24, 37, 1, 27, 42, 6, 2, 25, 46, 14]
2.49;3863;16815;[0, 41, 43, 4, 33, 10, 21, 17, 36, 38, 3, 48, 31, 42, 24, 7, 19, 39, 25, 30, 49, 27, 47, 1, 40, 35, 34]
2.51;3945;16909;[0, 41, 30, 22, 17, 26, 18, 31, 8, 42, 6, 2, 20, 10, 21, 44, 19, 46, 27, 12, 5, 16, 24, 23, 43, 28, 25]
2.38;3699;16665;[0, 33, 42, 16, 24, 18, 26, 10, 6, 2, 34, 47, 12, 29, 4, 28, 22, 27, 9, 14, 5, 3, 8, 21, 25]
2.36;3735;16339;[0, 3, 18, 40, 21, 28, 38, 10, 42, 7, 30, 41, 44, 13, 9, 14, 19, 1, 48, 20, 2, 34, 23, 5, 16]
2.40;3811;16795;[0, 22, 44, 38, 8, 45, 37, 23, 5, 3, 29, 7, 21, 39, 36, 41, 16, 35, 27, 9, 43, 40, 17, 31, 48]
2.32;3764;16352;[0, 25, 41, 29, 47, 9, 33, 6, 2, 39, 17, 46, 5, 16, 12, 48, 1, 13, 36, 10, 26, 18, 40, 28]
2.40;3641;16415;[0, 3, 27, 20, 21, 9, 33, 6, 26, 10, 40, 5, 12, 29, 39, 28, 22, 44, 41, 16, 8, 45, 32, 34]
2.44;3797;16563;[0, 17, 6, 45, 21, 28, 16, 15, 29, 18, 4, 33, 36, 41, 43, 49, 13, 9, 25, 19, 14, 5, 48, 20, 2, 34]
2.46;3852;16713;[0, 49, 35, 25, 44, 13, 36, 10, 21, 15, 16, 23, 5, 3, 32, 27, 12, 45, 14, 2, 1, 22, 30, 8, 7, 28]
2.44;3889;17393;[0, 9, 25, 8, 6, 1, 40, 5, 24, 32, 27, 42, 16, 35, 3, 29, 18, 44, 13, 33, 10, 21, 41, 48]
2.56;3863;16522;[0, 41, 26, 35, 25, 8, 39, 45, 37, 2, 34, 31, 42, 40, 21, 12, 5, 3, 29, 47, 32, 24, 23, 11, 14, 28]
2.47;3770;16733;[0, 3, 32, 16, 12, 1, 45, 21, 9, 24, 14, 11, 19, 25, 44, 31, 18, 40, 5, 27, 4, 33, 15, 41, 13, 7]
2.50;3902;16983;[0, 41, 30, 27, 4, 35, 34, 18, 47, 42, 13, 7, 28, 38, 14, 33, 21, 9, 5, 12, 43, 32, 2, 39, 17, 46]
2.47;3787;17671;[0, 47, 40, 5, 12, 48, 6, 45, 29, 34, 39, 17, 15, 25, 30, 41, 13, 36, 27, 33, 14, 19, 9, 49, 32, 16]
2.41;3647;16358;[0, 14, 41, 44, 38, 43, 9, 25, 1, 40, 10, 21, 12, 48, 33, 6, 18, 26, 23, 16, 30, 3, 8, 34]
2.50;3756;17286;[0, 47, 32, 40, 48, 20, 21, 39, 41, 30, 44, 13, 7, 5, 27, 18, 26, 35, 16, 24, 1, 2, 25, 19, 14]
2.31;3575;16578;[0, 41, 30, 35, 21, 9, 5, 19, 14, 38, 3, 48, 17, 15, 24, 31, 32, 27, 36, 29, 47, 40, 28]
2.41;3719;16745;[0, 33, 36, 27, 18, 26, 49, 43, 3, 8, 23, 38, 5, 19, 1, 16, 35, 41, 4, 28, 40, 48, 17, 6, 34]
