duration(s);cost;bonus;route
0.41;793;2848;[0, 4, 9, 1, 7]
0.41;793;2848;[0, 4, 9, 1, 7]
0.41;793;2981;[0, 4, 9, 8, 7]
0.43;793;2981;[0, 4, 9, 8, 7]
0.43;793;2848;[0, 4, 9, 1, 7]
0.41;793;2848;[0, 4, 9, 1, 7]
0.43;793;2848;[0, 4, 9, 1, 7]
0.41;793;2981;[0, 4, 9, 8, 7]
0.41;793;2981;[0, 4, 9, 8, 7]
0.42;793;2981;[0, 4, 9, 8, 7]
0.41;793;2981;[0, 4, 9, 8, 7]
0.41;793;2848;[0, 4, 9, 1, 7]
0.41;793;2848;[0, 4, 9, 1, 7]
0.40;793;2848;[0, 4, 9, 1, 7]
0.41;793;2848;[0, 4, 9, 1, 7]
0.40;793;2848;[0, 4, 9, 1, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
0.41;793;2981;[0, 4, 9, 8, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
0.40;793;2848;[0, 4, 9, 1, 7]
0.40;793;2848;[0, 4, 9, 1, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
0.40;793;2848;[0, 4, 9, 1, 7]
0.40;793;2848;[0, 4, 9, 1, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
0.40;793;2981;[0, 4, 9, 8, 7]
