duration(s);cost;bonus;route
2.24;3470;16179;[0, 43, 34, 31, 45, 30, 29, 44, 37, 19, 41, 47, 35, 36, 39, 49, 32, 38, 48, 28, 10, 42, 33]
2.25;3468;15993;[0, 43, 44, 45, 31, 10, 32, 38, 48, 49, 39, 16, 46, 35, 30, 29, 41, 47, 28, 37, 40, 42, 33]
2.24;3486;16179;[0, 43, 34, 31, 45, 30, 29, 44, 37, 19, 41, 47, 28, 48, 38, 32, 49, 39, 33, 42, 10, 35, 36]
2.24;3417;16179;[0, 43, 35, 30, 29, 34, 31, 45, 44, 37, 19, 48, 28, 10, 42, 33, 39, 49, 32, 38, 41, 47, 36]
2.24;3467;15998;[0, 33, 42, 10, 28, 47, 2, 37, 40, 36, 35, 30, 29, 41, 39, 49, 32, 38, 44, 45, 31, 34, 43]
2.24;3441;15972;[0, 36, 40, 37, 44, 45, 31, 34, 29, 3, 41, 47, 28, 10, 42, 33, 39, 49, 32, 38, 30, 35, 43]
2.24;3458;16163;[0, 33, 39, 49, 46, 27, 44, 37, 40, 36, 35, 20, 19, 48, 28, 47, 41, 29, 30, 45, 38, 32, 10, 43]
2.24;3429;16179;[0, 43, 34, 31, 45, 44, 37, 19, 48, 28, 10, 42, 33, 39, 49, 32, 38, 30, 29, 41, 47, 35, 36]
2.25;3422;15981;[0, 33, 39, 49, 32, 38, 48, 2, 37, 40, 42, 10, 28, 47, 41, 29, 30, 35, 34, 31, 45, 44, 43]
2.24;3421;16197;[0, 32, 38, 30, 29, 41, 47, 35, 36, 40, 37, 2, 48, 28, 10, 42, 33, 39, 49, 31, 45, 44, 43]
2.24;3429;16179;[0, 43, 34, 31, 45, 44, 37, 19, 48, 28, 10, 42, 33, 39, 49, 32, 38, 30, 29, 41, 47, 35, 36]
2.24;3462;16396;[0, 43, 35, 30, 29, 41, 47, 36, 40, 37, 19, 48, 28, 26, 42, 33, 27, 44, 45, 38, 31, 49, 39, 32]
2.24;3445;16179;[0, 43, 44, 37, 19, 48, 38, 32, 49, 39, 33, 42, 10, 28, 47, 41, 29, 34, 31, 45, 30, 35, 36]
2.23;3428;16179;[0, 32, 49, 39, 33, 42, 10, 28, 48, 38, 30, 29, 34, 31, 45, 44, 37, 19, 41, 47, 36, 35, 43]
2.24;3463;16022;[0, 33, 42, 40, 37, 2, 48, 28, 10, 31, 34, 29, 41, 47, 36, 35, 39, 49, 32, 38, 45, 44, 43]
2.24;3470;16179;[0, 33, 39, 49, 32, 38, 48, 28, 10, 42, 36, 35, 47, 41, 19, 37, 44, 29, 30, 45, 31, 34, 43]
2.25;3462;16396;[0, 43, 35, 30, 29, 41, 47, 36, 40, 37, 19, 48, 28, 26, 42, 33, 27, 44, 45, 38, 31, 49, 39, 32]
2.24;3428;15932;[0, 32, 26, 28, 47, 27, 44, 37, 40, 42, 33, 39, 49, 14, 35, 30, 29, 41, 38, 45, 31, 10, 43]
2.24;3428;15932;[0, 32, 26, 28, 47, 27, 44, 37, 40, 42, 33, 39, 49, 14, 35, 30, 29, 41, 38, 45, 31, 10, 43]
2.25;3438;15983;[0, 33, 39, 9, 28, 10, 32, 49, 14, 35, 30, 29, 34, 31, 45, 38, 41, 47, 36, 40, 37, 44, 27, 43]
2.24;3428;15932;[0, 32, 26, 28, 47, 27, 44, 37, 40, 42, 33, 39, 49, 14, 35, 30, 29, 41, 38, 45, 31, 10, 43]
2.24;3424;15987;[0, 33, 42, 26, 28, 48, 19, 37, 44, 45, 38, 30, 29, 41, 47, 36, 35, 43, 34, 31, 49, 39, 32]
2.24;3428;15932;[0, 32, 26, 28, 47, 27, 44, 37, 40, 42, 33, 39, 49, 14, 35, 30, 29, 41, 38, 45, 31, 10, 43]
2.24;3465;16139;[0, 33, 27, 44, 45, 38, 30, 35, 43, 26, 28, 48, 19, 37, 40, 36, 47, 41, 29, 34, 31, 49, 39, 32]
2.24;3429;16179;[0, 33, 42, 10, 28, 48, 19, 37, 44, 29, 30, 35, 36, 47, 41, 39, 49, 32, 38, 45, 31, 34, 43]
2.23;3453;16179;[0, 43, 10, 42, 33, 39, 49, 32, 38, 30, 29, 34, 31, 45, 44, 37, 28, 48, 19, 41, 47, 35, 36]
2.24;3471;15972;[0, 32, 38, 41, 29, 3, 44, 37, 40, 36, 47, 28, 10, 42, 33, 39, 49, 35, 30, 45, 31, 34, 43]
2.24;3462;16396;[0, 43, 35, 30, 29, 41, 47, 36, 40, 37, 19, 48, 28, 26, 42, 33, 27, 44, 45, 38, 31, 49, 39, 32]
2.24;3429;16179;[0, 36, 35, 47, 41, 29, 30, 38, 32, 49, 39, 33, 42, 10, 28, 48, 19, 37, 44, 45, 31, 34, 43]
2.23;3470;16179;[0, 43, 34, 35, 30, 29, 41, 31, 45, 44, 37, 19, 48, 38, 32, 49, 39, 33, 42, 10, 28, 47, 36]
