duration(s);cost;bonus;route
2.31;3210;15982;[0, 33, 17, 14, 49, 32, 23, 29, 41, 19, 38, 45, 31, 20, 35, 47, 2, 26, 28, 10, 43]
2.30;3203;15997;[0, 33, 17, 14, 35, 20, 31, 10, 28, 26, 3, 29, 23, 32, 38, 19, 37, 2, 47, 41, 4]
2.30;3195;15935;[0, 43, 10, 28, 26, 11, 44, 3, 37, 19, 38, 14, 35, 47, 41, 4, 45, 30, 29, 23, 1, 33]
2.28;3182;15968;[0, 32, 38, 19, 20, 31, 10, 28, 26, 43, 35, 47, 2, 37, 44, 4, 41, 29, 23, 1, 33]
2.29;3222;16130;[0, 43, 23, 29, 30, 35, 14, 49, 4, 41, 47, 28, 10, 32, 38, 19, 20, 31, 45, 44, 11, 33]
2.30;3225;16024;[0, 43, 35, 20, 31, 45, 44, 4, 41, 47, 2, 37, 13, 30, 29, 23, 32, 10, 28, 26, 11, 33]
2.27;3227;16058;[0, 43, 35, 14, 24, 44, 3, 26, 28, 10, 31, 45, 38, 19, 37, 4, 41, 47, 36, 16, 18, 33]
2.28;3187;16010;[0, 43, 35, 47, 41, 4, 45, 38, 19, 13, 37, 2, 26, 28, 10, 32, 23, 29, 3, 44, 11]
2.31;3207;16026;[0, 4, 41, 29, 23, 1, 33, 17, 14, 45, 38, 32, 10, 28, 26, 11, 44, 37, 19, 20, 35, 43]
2.31;3186;15930;[0, 43, 10, 28, 26, 11, 44, 3, 41, 4, 2, 47, 35, 20, 19, 38, 45, 30, 29, 23, 1, 33]
2.26;3213;15969;[0, 32, 10, 31, 45, 38, 19, 37, 2, 47, 28, 26, 3, 44, 4, 41, 29, 23, 1, 33, 17]
2.30;3182;15956;[0, 43, 35, 14, 49, 4, 41, 29, 23, 33, 11, 44, 45, 38, 19, 37, 2, 47, 28, 10, 32]
2.31;3216;15938;[0, 32, 10, 28, 26, 11, 44, 24, 14, 38, 19, 37, 2, 47, 36, 16, 18, 4, 41, 29, 23, 43]
2.30;3216;15983;[0, 33, 39, 49, 4, 41, 47, 5, 1, 23, 29, 3, 37, 19, 38, 45, 44, 11, 26, 28, 10, 32]
2.29;3186;15928;[0, 33, 1, 23, 29, 41, 4, 18, 16, 36, 47, 2, 37, 19, 38, 45, 44, 11, 26, 28, 10, 43]
2.26;3196;15990;[0, 32, 49, 4, 41, 29, 23, 1, 47, 28, 26, 11, 44, 3, 37, 19, 38, 45, 31, 10, 43]
2.31;3211;16108;[0, 43, 10, 28, 26, 2, 47, 41, 4, 30, 29, 23, 33, 11, 44, 45, 38, 19, 20, 35, 49, 32]
2.32;3189;15963;[0, 43, 35, 20, 19, 38, 45, 4, 18, 16, 17, 33, 1, 23, 29, 41, 47, 2, 26, 28, 10, 32]
2.26;3191;16102;[0, 43, 23, 29, 3, 44, 4, 41, 47, 35, 14, 45, 38, 19, 13, 37, 2, 26, 28, 10, 32]
2.30;3210;15984;[0, 43, 10, 28, 47, 41, 4, 44, 3, 26, 32, 38, 45, 14, 35, 20, 19, 13, 30, 29, 23, 33]
2.30;3229;16177;[0, 33, 17, 14, 35, 20, 19, 37, 2, 47, 41, 29, 30, 45, 38, 32, 10, 28, 26, 3, 44, 11]
2.30;3247;15956;[0, 4, 41, 47, 2, 37, 3, 8, 45, 38, 19, 20, 31, 10, 28, 14, 35, 30, 29, 23, 1, 33]
2.27;3200;15927;[0, 43, 11, 44, 3, 26, 28, 10, 31, 45, 14, 17, 33, 23, 29, 41, 47, 2, 19, 38, 32]
2.29;3225;15944;[0, 43, 35, 20, 19, 38, 45, 13, 37, 2, 26, 28, 29, 23, 33, 17, 4, 41, 3, 44, 11]
2.31;3210;15962;[0, 43, 10, 28, 47, 41, 4, 45, 38, 14, 35, 20, 19, 13, 26, 11, 44, 3, 29, 23, 1, 33]
2.27;3212;15959;[0, 32, 10, 28, 26, 11, 33, 17, 16, 31, 45, 38, 19, 37, 2, 47, 4, 41, 29, 23, 43]
2.29;3222;16059;[0, 33, 1, 23, 29, 30, 4, 41, 32, 49, 14, 45, 38, 19, 37, 3, 44, 11, 26, 28, 10, 43]
2.28;3215;16012;[0, 33, 17, 16, 28, 26, 2, 37, 19, 38, 14, 35, 47, 41, 3, 44, 4, 30, 29, 23, 43]
2.31;3224;16151;[0, 11, 44, 3, 41, 47, 28, 10, 31, 20, 19, 38, 45, 14, 17, 33, 1, 23, 29, 30, 35, 43]
2.28;3189;16030;[0, 32, 49, 31, 10, 28, 47, 41, 4, 30, 29, 23, 1, 33, 11, 44, 45, 38, 19, 20, 35, 43]
