duration(s);cost;bonus;route
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1397;6787;[0, 9, 18, 5, 16, 10, 15, 12, 19, 14]
0.72;1397;6787;[0, 9, 18, 5, 16, 10, 15, 12, 19, 14]
0.72;1397;6787;[0, 9, 18, 5, 16, 10, 15, 12, 19, 14]
0.72;1397;6787;[0, 9, 18, 5, 16, 10, 15, 12, 19, 14]
0.72;1404;6563;[0, 9, 18, 5, 16, 10, 15, 12, 19, 2]
0.72;1404;6563;[0, 9, 18, 5, 16, 10, 15, 12, 19, 2]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1411;6493;[0, 9, 18, 5, 17, 15, 12, 11, 19, 14]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1397;6787;[0, 9, 18, 5, 16, 10, 15, 12, 19, 14]
0.72;1412;6521;[0, 17, 1, 9, 18, 5, 16, 4, 3, 14]
0.72;1388;6605;[0, 9, 15, 12, 11, 19, 2, 6, 5, 14]
0.72;1388;6605;[0, 9, 15, 12, 11, 19, 2, 6, 5, 14]
0.72;1377;6551;[0, 9, 18, 10, 15, 12, 5, 14, 2]
0.72;1389;6557;[0, 9, 18, 16, 4, 3, 2, 6, 5, 14]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.73;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1397;6787;[0, 9, 18, 5, 16, 10, 15, 12, 19, 14]
0.72;1397;6787;[0, 9, 18, 5, 16, 10, 15, 12, 19, 14]
0.74;1411;6493;[0, 9, 18, 5, 17, 15, 12, 11, 19, 14]
0.73;1411;6493;[0, 9, 18, 5, 17, 15, 12, 11, 19, 14]
0.73;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.72;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
0.73;1376;6551;[0, 9, 15, 12, 10, 18, 5, 14, 2]
