duration(s);cost;bonus;route
9.56;6900;30644;[0, 53, 77, 5, 43, 73, 41, 17, 88, 35, 84, 97, 23, 61, 75, 1, 94, 66, 63, 6, 11, 60, 26, 19, 87, 29, 40, 38, 24, 49, 78, 3, 82, 89, 91, 33, 76, 30, 27, 57, 90, 96, 50, 86, 9, 8, 54]
9.62;6826;30607;[0, 97, 23, 52, 82, 28, 37, 24, 75, 68, 54, 77, 78, 56, 63, 59, 85, 16, 11, 71, 95, 83, 98, 40, 35, 49, 72, 12, 30, 25, 80, 6, 87, 51, 33, 61, 86, 9, 43, 84, 18, 22, 94, 66]
9.72;6885;30805;[0, 85, 5, 26, 9, 20, 92, 75, 68, 3, 94, 10, 22, 15, 88, 66, 52, 18, 17, 70, 11, 71, 53, 29, 40, 38, 89, 8, 76, 55, 63, 67, 58, 43, 49, 72, 12, 24, 64, 97, 73, 30, 54, 48, 93, 59]
9.61;6909;30723;[0, 27, 80, 26, 42, 8, 88, 10, 63, 6, 11, 4, 61, 75, 23, 96, 81, 72, 85, 89, 92, 95, 41, 84, 97, 43, 32, 94, 66, 91, 33, 15, 12, 7, 28, 69, 49, 46, 48, 35, 14, 50, 31, 68, 65, 53, 71]
9.55;6828;30676;[0, 20, 86, 31, 97, 65, 22, 9, 49, 72, 57, 75, 68, 23, 6, 69, 38, 89, 8, 25, 95, 52, 82, 78, 76, 46, 80, 63, 84, 1, 94, 51, 16, 35, 66, 21, 48, 11, 71, 3, 18, 55, 92, 64, 50, 59]
9.67;6870;30722;[0, 15, 76, 55, 7, 94, 4, 67, 92, 50, 86, 34, 8, 88, 24, 49, 72, 38, 77, 44, 63, 11, 89, 27, 96, 70, 66, 32, 20, 28, 14, 97, 23, 61, 95, 52, 12, 60, 2, 33, 9, 78, 56, 75, 6, 46, 71]
9.61;6917;30687;[0, 27, 59, 11, 89, 50, 86, 9, 43, 32, 26, 42, 63, 6, 58, 55, 98, 40, 35, 31, 97, 17, 2, 94, 4, 73, 46, 18, 49, 66, 52, 44, 81, 72, 38, 83, 90, 77, 29, 92, 8, 88, 80, 69, 7, 22]
9.49;6896;30806;[0, 44, 14, 74, 28, 75, 34, 90, 91, 78, 3, 29, 16, 79, 12, 95, 8, 36, 86, 20, 22, 38, 59, 56, 63, 37, 97, 84, 80, 26, 77, 33, 88, 40, 35, 55, 98, 96, 81, 72, 58, 49, 66, 21, 48, 11, 71]
9.62;6783;30753;[0, 24, 75, 6, 11, 22, 21, 98, 10, 34, 35, 87, 23, 38, 97, 43, 37, 59, 70, 86, 76, 30, 94, 4, 52, 71, 9, 8, 88, 80, 17, 49, 72, 12, 84, 66, 63, 26, 7, 14, 51, 89, 92, 95, 69]
9.59;6853;30600;[0, 44, 98, 82, 22, 68, 65, 81, 75, 32, 94, 96, 92, 95, 63, 26, 19, 69, 49, 72, 12, 47, 21, 3, 59, 56, 34, 5, 87, 51, 86, 76, 66, 40, 70, 83, 15, 88, 91, 2, 6, 11, 16, 35, 37, 71]
9.58;6890;30664;[0, 82, 58, 42, 34, 70, 97, 17, 66, 75, 68, 29, 40, 15, 55, 63, 6, 11, 27, 96, 98, 26, 80, 69, 49, 5, 76, 35, 43, 67, 22, 38, 71, 89, 50, 31, 91, 33, 9, 61, 64, 78, 3, 18, 83]
9.60;6893;30642;[0, 47, 20, 95, 63, 82, 78, 11, 97, 54, 18, 34, 58, 76, 85, 89, 66, 26, 92, 75, 43, 55, 9, 49, 72, 38, 59, 23, 52, 12, 60, 91, 22, 61, 7, 14, 27, 4, 32, 35, 2, 6, 84, 21, 68, 56]
9.57;7008;30782;[0, 3, 35, 60, 46, 24, 81, 86, 20, 95, 63, 11, 89, 91, 58, 13, 77, 75, 31, 97, 73, 66, 21, 27, 15, 9, 43, 49, 5, 93, 68, 12, 72, 32, 64, 41, 17, 54, 6, 40, 44, 2, 23, 52, 59, 14]
9.69;6851;30682;[0, 9, 20, 83, 31, 50, 60, 38, 6, 52, 71, 75, 48, 49, 22, 73, 86, 14, 51, 97, 54, 77, 5, 88, 80, 69, 44, 58, 82, 28, 43, 8, 37, 53, 26, 21, 98, 7, 94, 40, 3, 36, 68]
9.71;6972;30766;[0, 50, 42, 32, 67, 81, 55, 7, 2, 62, 75, 15, 94, 66, 69, 24, 8, 22, 9, 40, 3, 30, 89, 80, 74, 95, 27, 6, 11, 16, 91, 58, 43, 84, 97, 59, 56, 63, 31, 18, 49, 72, 88, 4, 85, 36, 34, 23]
9.57;6823;30830;[0, 85, 2, 6, 57, 72, 58, 16, 52, 12, 7, 37, 59, 11, 4, 61, 39, 68, 3, 18, 23, 22, 89, 33, 47, 20, 83, 82, 84, 80, 26, 19, 81, 66, 49, 17, 31, 97, 96, 98, 71, 95, 38, 15, 35, 8]
9.58;6894;30622;[0, 56, 34, 17, 99, 27, 50, 31, 80, 46, 97, 9, 20, 83, 15, 94, 85, 5, 26, 7, 65, 22, 68, 23, 49, 28, 87, 18, 78, 14, 35, 2, 33, 21, 59, 73, 72, 38, 24, 40, 91, 63, 67, 11, 51]
9.59;6878;30709;[0, 50, 86, 9, 8, 54, 12, 84, 66, 75, 68, 98, 29, 92, 64, 15, 35, 95, 41, 76, 32, 3, 59, 97, 23, 90, 77, 44, 40, 38, 89, 22, 6, 11, 51, 47, 20, 83, 70, 30, 24, 52, 26, 80, 43, 67]
9.60;6855;30772;[0, 15, 35, 87, 23, 38, 42, 32, 64, 92, 75, 90, 66, 52, 18, 55, 10, 34, 5, 26, 80, 63, 73, 13, 98, 40, 49, 46, 97, 12, 59, 17, 82, 78, 3, 8, 54, 6, 11, 33, 88, 57, 72, 27, 9, 43]
9.62;6825;30880;[0, 97, 12, 7, 28, 69, 66, 32, 3, 6, 84, 21, 98, 10, 87, 68, 9, 8, 82, 95, 52, 59, 14, 51, 89, 2, 65, 22, 27, 92, 5, 26, 19, 81, 75, 43, 49, 17, 76, 77, 72, 85, 47, 20, 39, 50]
9.64;6727;30687;[0, 91, 33, 15, 41, 58, 49, 66, 52, 30, 54, 6, 17, 60, 44, 93, 68, 85, 36, 69, 24, 81, 86, 34, 5, 99, 38, 89, 50, 75, 88, 35, 61, 22, 9, 11, 71, 59, 97, 12, 7, 94, 96, 14, 27, 63]
9.75;6911;30742;[0, 18, 22, 6, 52, 88, 66, 86, 95, 38, 42, 20, 72, 12, 84, 97, 73, 41, 58, 43, 44, 40, 35, 34, 23, 9, 11, 71, 70, 69, 24, 8, 99, 63, 67, 36, 28, 75, 68, 54, 83, 37, 94, 26, 92]
9.68;6809;30605;[0, 9, 17, 37, 44, 46, 24, 75, 88, 97, 3, 91, 22, 68, 54, 36, 39, 12, 86, 76, 66, 32, 35, 84, 1, 14, 59, 67, 81, 72, 6, 11, 71, 28, 87, 51, 89, 80, 26, 48, 23, 43, 8, 2]
9.73;6875;30750;[0, 85, 58, 43, 37, 44, 40, 35, 55, 7, 94, 4, 91, 27, 9, 34, 5, 76, 86, 36, 75, 15, 82, 59, 97, 12, 69, 66, 32, 3, 71, 70, 11, 10, 63, 26, 92, 95, 52, 88, 21, 1, 50, 48, 87, 68, 23]
9.65;6973;30681;[0, 24, 75, 70, 78, 69, 7, 2, 23, 67, 53, 68, 12, 18, 32, 20, 4, 97, 43, 22, 9, 5, 87, 51, 16, 35, 14, 15, 82, 33, 76, 41, 81, 55, 10, 34, 61, 95, 38, 89, 66, 52, 77, 72, 6, 40, 65]
