duration(s);cost;bonus;route
10.00;7603;30707;[0, 68, 29, 45, 89, 66, 14, 62, 50, 59, 19, 92, 86, 44, 46, 90, 28, 84, 21, 88, 40, 38, 23, 17, 37, 71, 39, 91, 7, 53, 51, 97, 78, 34, 75, 54, 9, 43, 49, 63, 26, 1, 72, 85, 2, 47]
10.56;7806;30831;[0, 50, 19, 28, 69, 74, 14, 70, 88, 79, 18, 75, 62, 22, 38, 77, 66, 21, 98, 71, 30, 54, 59, 17, 8, 64, 78, 76, 63, 42, 5, 31, 3, 67, 56, 39, 24, 27, 57, 10, 46, 9, 49, 16, 23, 37, 29, 94, 96]
10.35;7810;31094;[0, 79, 30, 42, 46, 91, 80, 60, 85, 66, 52, 18, 27, 62, 32, 64, 26, 48, 5, 20, 68, 45, 1, 9, 98, 10, 2, 77, 47, 38, 89, 12, 59, 67, 81, 7, 82, 35, 28, 43, 57, 3, 29, 16, 17, 34, 90, 11, 71]
10.99;8023;30894;[0, 97, 2, 5, 99, 63, 81, 66, 32, 43, 44, 77, 16, 87, 90, 11, 27, 45, 91, 22, 76, 86, 92, 64, 26, 54, 24, 41, 84, 73, 30, 65, 94, 17, 31, 68, 56, 59, 58, 42, 95, 38, 88, 10, 57, 34, 61, 8, 51]
10.09;7935;30751;[0, 68, 93, 46, 91, 13, 65, 14, 27, 71, 19, 10, 83, 62, 55, 1, 9, 11, 80, 57, 81, 44, 69, 49, 15, 3, 26, 92, 25, 63, 56, 22, 89, 66, 97, 12, 38, 23, 90, 41, 35, 51, 6, 2, 5, 32, 84, 48, 37, 96]
10.60;7971;32986;[0, 39, 56, 12, 5, 55, 62, 69, 7, 46, 71, 95, 8, 59, 73, 25, 66, 86, 63, 37, 77, 89, 27, 44, 58, 70, 13, 33, 21, 54, 14, 97, 87, 93, 98, 88, 40, 9, 43, 22, 72, 6, 11, 51, 26, 38, 17, 49, 28, 92]
9.98;7758;30967;[0, 46, 68, 12, 7, 14, 38, 54, 40, 67, 92, 39, 20, 27, 24, 43, 73, 5, 8, 11, 56, 83, 61, 33, 29, 28, 75, 26, 71, 55, 6, 31, 85, 4, 52, 77, 72, 58, 78, 87, 51, 86, 76, 32, 35, 45, 65, 70]
10.29;7824;30841;[0, 26, 60, 43, 32, 70, 30, 77, 69, 18, 40, 3, 23, 75, 57, 10, 46, 33, 47, 55, 48, 25, 98, 15, 12, 72, 37, 97, 14, 93, 9, 58, 82, 84, 80, 6, 52, 71, 36, 86, 2, 65, 22, 68, 87, 17, 31, 20, 21]
10.66;7839;30745;[0, 44, 58, 55, 89, 83, 67, 23, 96, 97, 14, 39, 35, 22, 29, 40, 15, 32, 49, 86, 92, 8, 24, 2, 5, 43, 21, 68, 34, 78, 36, 28, 75, 6, 52, 30, 94, 85, 63, 11, 56, 53, 73, 79, 64, 50, 4, 61, 38]
9.37;7199;30677;[0, 82, 28, 69, 80, 88, 52, 77, 89, 8, 19, 75, 26, 1, 73, 97, 76, 85, 22, 6, 60, 79, 95, 44, 54, 24, 64, 7, 37, 59, 11, 21, 71, 42, 20, 16, 23, 9, 43, 18, 46, 68, 70, 5, 2]
10.18;7880;32419;[0, 68, 96, 78, 44, 65, 3, 71, 39, 53, 88, 52, 69, 7, 25, 75, 85, 2, 6, 11, 97, 28, 51, 86, 36, 19, 92, 33, 40, 15, 5, 31, 37, 77, 13, 54, 59, 58, 43, 61, 66, 20, 41, 81, 80, 18, 63, 14]
10.62;7949;31338;[0, 68, 6, 48, 87, 37, 97, 61, 32, 90, 60, 50, 86, 45, 18, 55, 74, 36, 46, 23, 17, 82, 24, 40, 66, 10, 75, 15, 14, 11, 71, 22, 39, 93, 79, 81, 57, 19, 43, 8, 51, 20, 83, 65, 54, 77, 44, 58, 96, 92]
10.28;7665;31209;[0, 88, 57, 92, 69, 13, 42, 31, 9, 20, 22, 15, 14, 8, 39, 6, 72, 38, 71, 84, 35, 16, 11, 36, 75, 99, 30, 77, 89, 52, 82, 17, 60, 91, 83, 98, 51, 50, 86, 67, 81, 41, 40, 32, 76, 37, 53, 68]
10.74;7969;31294;[0, 6, 57, 45, 54, 47, 85, 7, 73, 77, 2, 56, 69, 66, 83, 75, 59, 14, 68, 72, 18, 84, 52, 93, 28, 31, 44, 92, 61, 38, 50, 62, 22, 70, 41, 29, 71, 30, 94, 26, 21, 24, 81, 86, 78, 34, 58, 55, 42, 8]
11.03;7782;30777;[0, 44, 81, 36, 48, 23, 52, 61, 29, 28, 75, 12, 35, 72, 32, 55, 3, 91, 21, 54, 83, 56, 51, 18, 43, 60, 93, 50, 19, 87, 70, 66, 99, 77, 86, 67, 92, 30, 13, 98, 41, 8, 42, 49, 5, 14, 80, 69, 15, 38, 59]
10.59;7831;30886;[0, 88, 79, 38, 89, 8, 82, 14, 55, 54, 53, 44, 81, 24, 51, 16, 35, 31, 59, 40, 49, 72, 80, 23, 90, 65, 84, 76, 61, 33, 52, 47, 99, 69, 27, 9, 20, 86, 34, 70, 22, 91, 77, 19, 87, 28, 25, 1, 41, 93]
11.00;8071;31076;[0, 93, 9, 78, 50, 62, 58, 35, 66, 43, 46, 71, 28, 84, 1, 76, 52, 18, 75, 99, 63, 56, 22, 38, 85, 83, 2, 11, 70, 5, 57, 19, 13, 3, 96, 36, 92, 44, 69, 10, 87, 20, 94, 31, 98, 73, 72, 88, 24, 37, 54]
