duration(s);cost;bonus;route
9.72;7000;30758;[0, 15, 12, 84, 18, 55, 48, 35, 72, 88, 91, 89, 92, 11, 16, 90, 66, 94, 29, 95, 7, 25, 5, 76, 85, 33, 56, 57, 78, 3, 71, 70, 36, 69, 27, 21, 68, 23, 67, 81, 86, 34, 61, 38, 59, 58, 54, 6, 52, 53]
9.70;6899;30610;[0, 15, 76, 85, 33, 56, 57, 78, 3, 29, 16, 64, 72, 88, 35, 14, 51, 39, 9, 43, 84, 82, 95, 7, 25, 5, 49, 11, 71, 70, 66, 69, 27, 68, 23, 67, 81, 86, 34, 61, 38, 59, 58, 54, 6, 52, 53]
9.70;6914;30635;[0, 27, 96, 25, 95, 41, 29, 39, 91, 22, 88, 35, 87, 7, 82, 84, 80, 57, 45, 77, 75, 26, 1, 53, 59, 97, 23, 38, 89, 18, 11, 4, 32, 64, 81, 86, 34, 6, 52, 9, 43, 49, 5, 76, 85, 33, 21, 54]
9.71;7053;30765;[0, 50, 13, 98, 96, 25, 95, 94, 51, 15, 88, 35, 43, 44, 87, 12, 1, 82, 80, 79, 78, 45, 77, 33, 76, 49, 75, 26, 71, 28, 69, 27, 68, 23, 67, 81, 55, 63, 11, 62, 18, 61, 38, 59, 58, 54, 6, 52, 53]
9.69;6819;30610;[0, 73, 13, 98, 96, 87, 51, 91, 22, 21, 24, 66, 83, 67, 81, 86, 34, 70, 97, 23, 49, 5, 76, 85, 33, 26, 77, 27, 57, 78, 3, 18, 63, 11, 62, 69, 38, 89, 61, 75, 88, 80, 54, 6, 52, 59]
9.71;7117;30701;[0, 99, 13, 98, 96, 25, 95, 8, 88, 35, 87, 12, 86, 76, 85, 47, 82, 89, 66, 52, 59, 23, 38, 77, 61, 18, 11, 4, 6, 40, 3, 64, 78, 73, 97, 9, 49, 5, 43, 75, 26, 80, 63, 56, 65, 81, 55, 92, 39]
9.74;6988;31004;[0, 91, 2, 65, 90, 43, 67, 81, 86, 34, 70, 97, 23, 49, 5, 76, 85, 33, 26, 27, 57, 78, 3, 71, 84, 21, 6, 87, 51, 15, 35, 72, 88, 10, 22, 95, 63, 11, 18, 61, 38, 59, 58, 1, 41, 52, 30, 54]
9.70;7020;30786;[0, 24, 66, 71, 42, 73, 97, 9, 49, 75, 26, 77, 27, 45, 28, 78, 3, 35, 84, 80, 57, 72, 85, 5, 76, 86, 87, 48, 8, 88, 29, 95, 63, 59, 23, 38, 89, 18, 11, 91, 58, 54, 6, 52, 50, 10]
9.71;7169;30757;[0, 27, 96, 25, 95, 94, 51, 91, 22, 15, 88, 35, 87, 7, 82, 64, 81, 16, 79, 18, 11, 10, 63, 37, 24, 66, 32, 70, 52, 73, 86, 9, 43, 49, 5, 76, 85, 33, 26, 1, 41, 58, 55, 59, 14, 6, 69, 54, 53]
9.68;6948;30702;[0, 50, 13, 98, 96, 14, 51, 74, 75, 43, 49, 5, 76, 85, 47, 21, 27, 57, 78, 3, 82, 84, 1, 53, 12, 86, 87, 48, 35, 72, 32, 8, 88, 66, 10, 22, 68, 23, 67, 81, 55, 63, 26, 92, 11, 89, 24, 52, 59]
9.70;7134;30777;[0, 44, 98, 96, 25, 95, 18, 61, 86, 92, 41, 11, 10, 63, 26, 42, 73, 97, 9, 43, 49, 5, 76, 85, 47, 21, 77, 27, 57, 78, 14, 59, 23, 38, 15, 12, 72, 88, 35, 19, 81, 91, 58, 60, 50, 75, 54, 6, 52, 53]
9.72;6987;30700;[0, 50, 13, 98, 96, 25, 95, 94, 51, 15, 88, 97, 43, 32, 35, 87, 12, 1, 82, 80, 79, 78, 34, 90, 33, 76, 49, 75, 26, 71, 28, 69, 27, 68, 23, 67, 81, 86, 11, 18, 61, 38, 59, 58, 54, 6, 52, 53]
