duration(s);cost;bonus;route
9.63;7480;30660;[0, 50, 36, 24, 4, 11, 51, 26, 92, 18, 5, 8, 82, 69, 29, 16, 78, 34, 46, 94, 35, 14, 65, 22, 38, 77, 40, 79, 57, 10, 54, 53, 88, 80, 32, 63, 6, 13, 71, 97, 28, 66, 21, 68]
9.74;7581;31025;[0, 12, 95, 8, 93, 23, 57, 33, 29, 69, 7, 64, 92, 86, 28, 25, 59, 47, 79, 18, 22, 62, 94, 68, 73, 27, 6, 13, 71, 84, 43, 32, 3, 15, 35, 31, 80, 26, 19, 81, 44, 66, 49, 34, 5, 67, 98, 46, 30, 54]
9.66;7562;31011;[0, 24, 52, 30, 97, 5, 58, 1, 53, 65, 81, 61, 80, 26, 54, 82, 78, 50, 75, 23, 46, 7, 14, 51, 57, 34, 66, 21, 73, 25, 40, 15, 20, 89, 18, 84, 35, 13, 98, 88, 60, 85, 49, 92, 19, 2, 77, 44, 8]
9.74;7460;30677;[0, 41, 72, 60, 67, 56, 4, 52, 9, 34, 61, 18, 96, 50, 75, 12, 7, 14, 51, 47, 26, 71, 89, 66, 32, 20, 97, 17, 82, 58, 78, 3, 29, 22, 21, 94, 31, 6, 84, 23, 81, 55, 98, 73, 68, 76, 86, 45, 83]
9.79;7595;30632;[0, 68, 12, 18, 19, 58, 66, 91, 78, 81, 41, 11, 60, 61, 94, 23, 67, 83, 14, 27, 59, 75, 1, 55, 98, 15, 44, 8, 42, 49, 16, 5, 32, 70, 56, 39, 6, 87, 3, 76, 35, 43, 90, 22, 62, 97, 54, 89, 50, 92]
9.82;7406;30692;[0, 15, 12, 68, 90, 77, 2, 53, 59, 95, 63, 11, 10, 46, 91, 89, 92, 72, 99, 69, 13, 31, 58, 87, 85, 33, 26, 39, 56, 34, 40, 3, 82, 75, 1, 55, 18, 52, 30, 25, 80, 43, 67, 81, 61, 21, 71, 9, 8]
9.70;7629;30757;[0, 88, 60, 52, 77, 78, 67, 80, 57, 72, 93, 86, 47, 82, 35, 5, 96, 50, 66, 75, 43, 44, 13, 31, 32, 87, 7, 70, 22, 56, 51, 85, 24, 64, 38, 54, 83, 34, 17, 26, 89, 55, 36, 69, 27, 59, 19, 2]
9.98;7419;30883;[0, 79, 49, 5, 26, 42, 2, 56, 21, 13, 97, 53, 11, 80, 46, 27, 51, 16, 41, 37, 3, 71, 86, 92, 8, 84, 6, 17, 43, 14, 50, 59, 35, 95, 69, 18, 52, 15, 57, 72, 58, 82, 28, 25, 40, 9, 78]
9.85;7494;30836;[0, 68, 78, 42, 90, 40, 82, 86, 45, 54, 65, 81, 77, 69, 79, 47, 73, 55, 51, 16, 20, 83, 17, 88, 71, 3, 6, 11, 39, 50, 74, 9, 61, 75, 37, 97, 92, 25, 5, 49, 63, 31, 85, 33, 21, 48, 35, 22]
9.77;7351;31005;[0, 23, 49, 72, 34, 11, 51, 36, 28, 43, 14, 97, 3, 94, 26, 80, 91, 38, 77, 5, 67, 83, 48, 61, 10, 92, 8, 64, 47, 85, 69, 66, 45, 53, 71, 59, 46, 68, 70, 30, 42, 55, 89, 33, 88, 57]
9.73;7346;30730;[0, 91, 2, 66, 43, 61, 49, 72, 15, 41, 58, 36, 69, 51, 86, 95, 38, 77, 26, 73, 13, 50, 75, 68, 85, 16, 11, 62, 34, 70, 27, 21, 71, 3, 6, 40, 65, 81, 30, 59, 17, 31, 9, 63, 56, 4, 35, 78]
9.81;7336;30867;[0, 9, 11, 62, 36, 63, 73, 97, 87, 37, 50, 60, 79, 66, 52, 71, 39, 80, 88, 77, 49, 78, 20, 72, 34, 90, 51, 85, 38, 89, 41, 6, 28, 48, 40, 3, 47, 82, 64, 67, 61, 33, 35, 84, 57, 10, 31]
9.74;7389;30611;[0, 27, 80, 62, 95, 55, 98, 88, 4, 85, 16, 76, 86, 45, 77, 72, 99, 75, 37, 9, 23, 84, 30, 15, 35, 2, 6, 11, 60, 26, 94, 24, 13, 3, 53, 44, 89, 18, 96, 81, 41, 29, 22, 66, 34, 64, 50, 59, 97, 54]
9.70;7500;30654;[0, 35, 4, 67, 53, 85, 16, 17, 66, 23, 38, 71, 55, 10, 75, 57, 21, 59, 5, 78, 72, 80, 1, 3, 6, 28, 2, 52, 47, 94, 29, 13, 98, 68, 12, 95, 49, 11, 56, 63, 82, 89, 61, 91, 32, 93, 37]
9.74;7463;30679;[0, 15, 82, 17, 8, 48, 14, 97, 23, 84, 30, 24, 64, 50, 89, 91, 69, 44, 37, 62, 34, 70, 11, 6, 54, 53, 26, 59, 66, 31, 27, 96, 25, 65, 81, 5, 43, 75, 88, 4, 41, 40, 35, 51, 45, 68, 67]
9.65;7457;30638;[0, 79, 15, 88, 82, 44, 87, 37, 97, 43, 69, 91, 2, 50, 86, 76, 61, 29, 22, 21, 12, 1, 84, 7, 14, 3, 47, 92, 25, 66, 49, 11, 60, 55, 81, 77, 38, 24, 75, 32, 26, 71, 42, 28, 4, 46, 48, 19, 31]
9.81;7500;31068;[0, 3, 67, 69, 38, 50, 66, 52, 49, 5, 26, 94, 96, 61, 44, 81, 55, 83, 76, 21, 36, 40, 14, 24, 60, 98, 29, 57, 7, 37, 59, 70, 11, 53, 12, 72, 32, 82, 39, 6, 71, 42, 84, 46, 68, 54, 18, 43]
9.66;7422;31205;[0, 97, 54, 83, 34, 17, 51, 18, 96, 11, 10, 81, 75, 12, 95, 38, 94, 31, 41, 76, 66, 21, 48, 5, 67, 71, 59, 49, 78, 87, 85, 22, 70, 33, 47, 9, 20, 89, 13, 6, 84, 35, 90, 28, 25, 40, 55, 92]
9.73;7340;30826;[0, 58, 16, 11, 4, 97, 5, 87, 9, 20, 57, 90, 14, 27, 63, 82, 28, 49, 86, 95, 8, 62, 50, 71, 59, 85, 47, 94, 40, 35, 61, 33, 43, 73, 36, 34, 52, 15, 88, 80, 74, 39, 2, 66, 37, 68]
9.71;7493;30598;[0, 43, 55, 92, 50, 86, 9, 79, 47, 94, 10, 37, 59, 73, 5, 31, 29, 57, 28, 99, 75, 1, 58, 2, 66, 83, 34, 61, 22, 27, 77, 33, 32, 3, 53, 71, 42, 51, 70, 72, 26, 36, 13, 4, 97, 11, 89, 91, 78]
9.66;7334;30630;[0, 97, 54, 6, 34, 11, 59, 23, 9, 42, 32, 28, 49, 17, 93, 64, 67, 89, 7, 2, 73, 66, 75, 57, 10, 81, 77, 22, 44, 40, 3, 47, 85, 69, 27, 15, 53, 71, 14, 18, 87, 51, 68, 45, 72, 38]
9.88;7451;30602;[0, 73, 25, 86, 34, 54, 21, 82, 41, 52, 88, 97, 67, 61, 22, 70, 77, 2, 6, 28, 43, 37, 79, 92, 5, 31, 80, 7, 55, 24, 81, 44, 95, 29, 40, 26, 48, 17, 20, 74, 3, 23, 87, 51, 16, 38]
9.88;7550;30724;[0, 50, 75, 48, 64, 60, 91, 38, 89, 66, 69, 7, 53, 83, 15, 76, 85, 78, 3, 82, 28, 18, 55, 92, 25, 11, 45, 72, 90, 40, 23, 57, 33, 46, 42, 8, 22, 27, 41, 17, 20, 39, 24, 81, 52, 26, 30, 1, 9, 43]
9.57;7449;30739;[0, 39, 6, 84, 74, 78, 45, 22, 41, 64, 30, 53, 26, 21, 36, 57, 7, 37, 67, 11, 97, 34, 62, 95, 71, 28, 43, 55, 63, 56, 16, 91, 94, 29, 54, 59, 70, 18, 32, 3, 24, 52, 12, 68, 51, 89, 66, 83]
9.66;7504;30910;[0, 3, 65, 90, 41, 61, 94, 85, 49, 45, 54, 47, 21, 83, 6, 40, 32, 37, 71, 22, 18, 33, 76, 57, 80, 99, 38, 36, 51, 91, 52, 44, 81, 75, 26, 42, 55, 92, 5, 14, 62, 95, 7, 28, 89, 50, 86, 9, 11]
9.64;7418;30906;[0, 41, 82, 2, 68, 90, 35, 61, 21, 12, 57, 51, 27, 18, 31, 80, 26, 77, 22, 6, 40, 20, 72, 32, 3, 67, 11, 97, 65, 34, 5, 69, 74, 28, 4, 93, 37, 71, 45, 83, 17, 55, 30, 94, 29, 86]
9.71;7489;30946;[0, 27, 71, 95, 63, 28, 72, 65, 5, 2, 23, 61, 64, 97, 12, 84, 18, 17, 94, 85, 78, 3, 88, 52, 53, 32, 26, 21, 54, 89, 4, 73, 13, 86, 81, 55, 51, 39, 41, 46, 1, 34, 93, 79, 35, 10, 92, 50, 36, 40, 38]
9.67;7519;30677;[0, 15, 57, 34, 49, 51, 45, 83, 11, 10, 37, 24, 78, 81, 19, 92, 95, 58, 82, 14, 74, 9, 43, 6, 36, 28, 31, 29, 94, 66, 86, 20, 91, 27, 33, 88, 77, 13, 25, 4, 75, 32, 72, 54, 71, 89, 8]
9.63;7537;31440;[0, 12, 55, 48, 31, 9, 5, 17, 11, 74, 20, 1, 43, 46, 59, 47, 44, 69, 80, 91, 94, 66, 49, 86, 67, 81, 24, 37, 15, 61, 64, 63, 6, 57, 98, 21, 82, 28, 87, 54, 71, 36, 40, 35, 84, 18, 75, 70]
