duration(s);cost;bonus;route
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1586;6821;[0, 10, 17, 19, 11, 9, 13, 1, 15, 14]
0.61;1586;6821;[0, 10, 17, 19, 11, 9, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1531;6872;[0, 3, 5, 8, 19, 17, 10, 16, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.60;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1586;6821;[0, 10, 17, 19, 11, 9, 13, 1, 15, 14]
0.61;1586;6821;[0, 10, 17, 19, 11, 9, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1531;6872;[0, 14, 15, 16, 10, 17, 19, 8, 5, 3]
0.61;1531;6872;[0, 14, 15, 16, 10, 17, 19, 8, 5, 3]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1586;6821;[0, 10, 17, 19, 11, 9, 13, 1, 15, 14]
0.61;1586;6821;[0, 10, 17, 19, 11, 9, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1571;6821;[0, 17, 10, 9, 11, 19, 13, 1, 15, 14]
0.61;1586;6821;[0, 10, 17, 19, 11, 9, 13, 1, 15, 14]
