duration(s);cost;bonus;route
10.30;7906;31844;[0, 53, 18, 13, 49, 29, 63, 70, 35, 39, 60, 94, 28, 54, 64, 80, 51, 31, 95, 65, 46, 77, 42, 8, 93, 40, 92, 7, 48, 82, 85, 3, 99, 69, 30, 97, 84, 68, 21, 73, 11, 81, 26, 5, 56, 89, 20, 9, 71]
10.38;7976;31331;[0, 99, 35, 78, 43, 41, 62, 65, 79, 26, 21, 37, 55, 16, 13, 67, 25, 15, 86, 39, 6, 51, 77, 53, 57, 52, 32, 91, 93, 8, 48, 28, 89, 56, 44, 85, 40, 66, 58, 17, 63, 45, 33, 42, 90, 64, 80, 68]
10.45;8190;31296;[0, 5, 21, 55, 84, 38, 51, 39, 57, 33, 4, 25, 11, 81, 98, 9, 24, 74, 68, 17, 52, 94, 28, 69, 43, 82, 20, 26, 27, 47, 91, 19, 34, 89, 76, 1, 53, 79, 15, 18, 73, 60, 88, 61, 36, 13, 31, 42, 62, 45, 99]
10.19;7916;31924;[0, 42, 20, 46, 11, 81, 41, 66, 56, 49, 65, 37, 54, 17, 34, 64, 89, 2, 77, 16, 19, 67, 94, 97, 32, 73, 26, 45, 25, 91, 78, 57, 12, 93, 29, 36, 98, 30, 87, 43, 5, 23, 8, 7, 39, 35, 9, 95, 28, 74]
10.22;7775;31627;[0, 30, 8, 69, 35, 15, 36, 50, 80, 26, 92, 2, 43, 31, 3, 45, 86, 32, 73, 60, 54, 41, 17, 16, 63, 56, 78, 89, 90, 87, 46, 59, 11, 81, 40, 9, 95, 65, 83, 75, 28, 53, 88, 96, 27, 57, 94, 99, 34]
9.92;7642;31564;[0, 9, 4, 54, 24, 43, 82, 23, 26, 21, 11, 46, 45, 97, 70, 75, 14, 20, 8, 18, 31, 38, 86, 33, 59, 48, 98, 2, 62, 71, 49, 65, 35, 81, 72, 3, 60, 88, 79, 34, 42, 22, 25, 56, 1, 51, 6, 36]
10.26;7769;31343;[0, 51, 31, 76, 79, 32, 13, 65, 68, 80, 83, 2, 39, 3, 59, 74, 37, 9, 22, 56, 86, 78, 49, 55, 47, 28, 60, 85, 20, 57, 12, 96, 50, 24, 67, 72, 30, 52, 53, 61, 43, 69, 15, 41, 14, 25, 45, 8]
10.25;7662;31337;[0, 17, 24, 93, 91, 96, 56, 83, 82, 77, 1, 68, 38, 86, 14, 37, 72, 84, 46, 34, 22, 79, 95, 55, 42, 19, 45, 28, 60, 71, 43, 31, 26, 21, 18, 4, 88, 2, 98, 62, 65, 20, 76, 35, 9, 94, 6, 63]
9.90;7641;31399;[0, 86, 81, 55, 37, 41, 28, 60, 76, 93, 2, 92, 46, 83, 69, 23, 64, 7, 25, 85, 3, 99, 12, 77, 62, 56, 95, 80, 1, 96, 79, 16, 34, 53, 6, 35, 24, 8, 98, 94, 88, 43, 11, 66, 44, 5, 67]
9.47;7127;31349;[0, 18, 2, 76, 99, 61, 21, 8, 81, 3, 75, 15, 25, 20, 59, 14, 79, 85, 45, 56, 94, 22, 12, 46, 51, 57, 89, 64, 93, 43, 88, 92, 42, 11, 28, 90, 34, 96, 74, 40, 80, 97, 29, 37]
