duration(s);cost;bonus;route
8.92;6742;31368;[0, 60, 85, 35, 76, 56, 16, 19, 43, 41, 17, 40, 14, 79, 6, 83, 63, 92, 20, 65, 99, 34, 59, 57, 55, 10, 45, 2, 62, 48, 11, 46, 71, 29, 93, 88, 23, 53, 28, 51, 26, 68, 1, 39]
9.07;6768;31279;[0, 62, 71, 17, 51, 82, 66, 56, 70, 50, 80, 32, 90, 25, 45, 91, 43, 11, 40, 74, 37, 9, 22, 28, 60, 54, 69, 7, 96, 99, 34, 53, 31, 35, 39, 77, 68, 85, 93, 76, 30, 20, 59]
9.11;6766;31493;[0, 99, 49, 14, 79, 82, 40, 25, 29, 2, 74, 35, 33, 85, 45, 91, 96, 67, 23, 77, 54, 69, 18, 90, 17, 52, 53, 31, 38, 21, 89, 8, 93, 37, 9, 22, 56, 47, 62, 51, 46, 20, 59, 43, 71]
9.28;6743;31315;[0, 45, 56, 70, 87, 73, 26, 3, 4, 40, 37, 78, 25, 74, 99, 34, 96, 47, 11, 69, 18, 31, 76, 79, 6, 83, 52, 29, 93, 85, 62, 71, 7, 48, 82, 98, 39, 77, 68, 23, 53, 43, 88, 49, 59, 60]
9.20;6687;31486;[0, 60, 54, 37, 35, 44, 11, 69, 29, 31, 3, 99, 55, 16, 57, 33, 53, 21, 12, 96, 74, 59, 63, 42, 20, 26, 56, 23, 65, 87, 82, 98, 51, 93, 43, 94, 34, 22, 62, 45, 28, 89, 8, 25, 85]
8.75;6713;31501;[0, 11, 46, 77, 42, 51, 93, 91, 45, 97, 26, 98, 63, 81, 23, 65, 68, 88, 14, 20, 76, 62, 17, 69, 29, 25, 44, 99, 3, 48, 28, 49, 59, 15, 74, 22, 82, 35, 53, 43, 71, 66, 33, 5]
9.14;6795;31352;[0, 53, 82, 3, 99, 34, 16, 60, 91, 96, 68, 86, 39, 77, 93, 14, 26, 98, 57, 44, 25, 29, 31, 64, 8, 66, 40, 63, 2, 74, 6, 32, 79, 85, 42, 11, 28, 89, 76, 45, 97, 17, 92, 37, 47]
9.20;6821;31352;[0, 60, 82, 69, 18, 31, 3, 45, 91, 43, 47, 62, 17, 52, 32, 79, 57, 98, 51, 96, 56, 90, 37, 35, 76, 23, 65, 4, 2, 9, 22, 28, 49, 71, 26, 68, 81, 44, 24, 29, 48, 59, 20, 84, 6]
9.13;6725;31260;[0, 11, 40, 66, 3, 45, 2, 98, 85, 35, 53, 83, 95, 28, 25, 68, 21, 47, 62, 82, 78, 54, 31, 96, 80, 69, 29, 93, 88, 14, 8, 39, 94, 64, 46, 51, 26, 56, 16, 65, 84, 18, 34, 59]
9.29;6817;31387;[0, 42, 48, 81, 52, 97, 85, 20, 94, 28, 60, 31, 96, 37, 34, 56, 47, 14, 26, 71, 69, 40, 74, 93, 58, 18, 78, 49, 23, 53, 88, 79, 82, 66, 59, 57, 35, 76, 62, 45, 8, 24, 29, 39]
