duration(s);cost;bonus;route
9.67;6802;31337;[0, 11, 28, 84, 6, 32, 13, 25, 5, 76, 45, 8, 81, 98, 79, 62, 60, 54, 64, 7, 96, 16, 69, 29, 2, 4, 80, 26, 3, 72, 41, 77, 22, 56, 78, 49, 40, 63, 53, 83, 9, 66, 59, 74, 37, 35]
9.68;6684;31305;[0, 42, 20, 59, 26, 98, 54, 93, 61, 74, 68, 32, 36, 39, 6, 5, 90, 28, 25, 45, 8, 81, 9, 34, 53, 43, 31, 44, 82, 23, 56, 58, 60, 65, 99, 3, 96, 47, 37, 64, 30, 14, 49, 46, 40]
9.63;6748;31303;[0, 80, 12, 40, 91, 49, 59, 54, 69, 89, 76, 88, 79, 74, 45, 2, 29, 93, 37, 35, 53, 82, 57, 44, 71, 18, 60, 11, 28, 25, 56, 64, 63, 14, 8, 51, 26, 68, 6, 42, 99, 9, 46, 77]
9.64;6820;31309;[0, 3, 87, 82, 77, 93, 88, 79, 68, 32, 47, 99, 10, 75, 2, 74, 37, 24, 29, 42, 8, 25, 45, 86, 9, 63, 14, 40, 54, 64, 18, 43, 58, 23, 65, 35, 76, 56, 90, 28, 60, 11, 51, 46, 71, 83]
9.80;6839;31302;[0, 86, 44, 37, 35, 76, 73, 43, 83, 26, 68, 54, 93, 29, 2, 57, 7, 25, 12, 84, 18, 78, 99, 49, 23, 53, 82, 98, 79, 16, 63, 81, 31, 67, 11, 46, 20, 9, 22, 94, 28, 60, 45, 39, 40, 74]
9.72;6939;31435;[0, 11, 40, 74, 3, 42, 20, 64, 93, 85, 62, 48, 53, 31, 96, 5, 79, 57, 61, 37, 47, 90, 28, 66, 69, 9, 10, 33, 99, 43, 83, 63, 55, 58, 94, 70, 87, 29, 25, 56, 4, 68, 21, 17, 16, 60, 6]
9.64;6739;31462;[0, 97, 17, 40, 20, 85, 47, 68, 32, 53, 82, 29, 2, 9, 60, 11, 69, 18, 25, 56, 90, 43, 88, 79, 57, 75, 8, 93, 14, 37, 41, 54, 31, 96, 99, 73, 77, 98, 39, 35, 76, 45, 91, 5, 27]
9.70;6805;31424;[0, 42, 31, 96, 5, 21, 59, 63, 45, 56, 58, 40, 8, 80, 38, 49, 18, 28, 60, 68, 81, 23, 12, 84, 26, 74, 22, 82, 98, 54, 11, 17, 46, 71, 43, 94, 64, 78, 87, 29, 2, 57, 44, 85, 20, 88, 73]
9.61;6756;31281;[0, 60, 23, 83, 63, 81, 41, 66, 59, 48, 42, 62, 88, 79, 57, 18, 4, 2, 74, 22, 94, 52, 95, 65, 46, 71, 89, 76, 93, 82, 35, 53, 8, 25, 45, 91, 31, 29, 54, 14, 40, 97, 56, 49, 99]
9.72;6797;31375;[0, 97, 79, 85, 20, 59, 3, 45, 91, 49, 68, 32, 67, 43, 82, 98, 63, 93, 29, 25, 56, 58, 18, 73, 26, 62, 51, 40, 9, 34, 27, 66, 23, 14, 37, 78, 60, 31, 96, 5, 38, 80, 15, 74, 35, 30, 8, 83]
