duration(s);cost;bonus;route
9.40;6667;31463;[0, 97, 29, 31, 96, 16, 93, 8, 92, 14, 40, 91, 90, 28, 89, 20, 88, 44, 85, 45, 82, 35, 81, 98, 79, 74, 37, 46, 77, 73, 69, 18, 25, 68, 32, 62, 48, 59, 57, 33, 56, 27, 51, 43, 94]
9.37;6667;31463;[0, 97, 29, 31, 96, 16, 93, 8, 92, 14, 40, 91, 90, 28, 89, 20, 88, 44, 85, 45, 82, 35, 81, 98, 79, 74, 37, 46, 77, 73, 69, 18, 25, 68, 32, 62, 48, 59, 57, 33, 56, 27, 51, 43, 94]
9.38;6801;31398;[0, 11, 99, 4, 97, 8, 93, 52, 34, 96, 74, 80, 92, 14, 40, 91, 90, 28, 89, 20, 88, 44, 85, 3, 84, 23, 83, 43, 82, 35, 81, 69, 72, 18, 25, 68, 75, 77, 16, 57, 33, 56, 27, 54, 31, 76]
9.35;6843;31264;[0, 11, 4, 97, 29, 93, 8, 69, 18, 81, 37, 35, 53, 6, 84, 60, 85, 20, 76, 88, 14, 61, 91, 96, 89, 90, 40, 9, 46, 77, 2, 74, 86, 66, 17, 63, 25, 59, 43, 58, 3, 57, 33, 56, 27, 68]
9.38;6667;31463;[0, 97, 29, 31, 96, 16, 93, 8, 92, 14, 40, 91, 90, 28, 89, 20, 88, 44, 85, 45, 82, 35, 81, 98, 79, 74, 37, 46, 77, 73, 69, 18, 25, 68, 32, 62, 48, 59, 57, 33, 56, 27, 51, 43, 94]
9.38;6667;31463;[0, 97, 29, 31, 96, 16, 93, 8, 92, 14, 40, 91, 90, 28, 89, 20, 88, 44, 85, 45, 82, 35, 81, 98, 79, 74, 37, 46, 77, 73, 69, 18, 25, 68, 32, 62, 48, 59, 57, 33, 56, 27, 51, 43, 94]
9.36;6842;31274;[0, 97, 8, 93, 34, 96, 99, 92, 14, 40, 91, 90, 28, 89, 20, 88, 44, 85, 45, 82, 98, 79, 62, 31, 32, 7, 71, 63, 25, 68, 26, 3, 77, 16, 46, 54, 37, 21, 59, 43, 11, 57, 33, 56, 1]
9.39;6667;31463;[0, 97, 29, 31, 96, 16, 93, 8, 92, 14, 40, 91, 90, 28, 89, 20, 88, 44, 85, 45, 82, 35, 81, 98, 79, 74, 37, 46, 77, 73, 69, 18, 25, 68, 32, 62, 48, 59, 57, 33, 56, 27, 51, 43, 94]
9.38;6817;31461;[0, 11, 4, 97, 8, 93, 14, 40, 91, 90, 28, 89, 20, 88, 44, 85, 3, 84, 43, 82, 35, 81, 98, 79, 74, 37, 9, 46, 77, 62, 71, 69, 18, 25, 68, 66, 83, 63, 59, 57, 33, 56, 27, 54, 42, 53]
9.38;6827;31243;[0, 33, 96, 62, 71, 18, 72, 15, 77, 16, 46, 23, 24, 75, 43, 94, 79, 68, 81, 69, 35, 53, 6, 84, 88, 44, 25, 85, 20, 9, 63, 45, 28, 90, 40, 92, 2, 80, 34, 93, 14, 8, 54, 31, 76]
