duration(s);cost;bonus;route
2.39;3758;15557;[0, 20, 38, 14, 18, 41, 21, 42, 3, 2, 43, 34, 24, 9, 16, 6, 37, 39, 23, 45, 30, 35, 13, 26, 27, 31]
2.53;3764;16369;[0, 20, 38, 34, 16, 22, 12, 39, 37, 28, 8, 27, 46, 25, 7, 40, 18, 9, 2, 4, 31, 21, 33, 3, 44, 29, 32]
2.24;3447;15771;[0, 39, 23, 18, 35, 41, 10, 44, 45, 38, 29, 43, 12, 9, 13, 37, 3, 24, 15, 47, 4, 19, 21]
2.43;3738;15879;[0, 23, 29, 11, 31, 21, 42, 36, 24, 40, 26, 7, 10, 8, 38, 49, 9, 2, 18, 12, 39, 17, 45, 19, 47]
2.44;3649;15843;[0, 20, 24, 10, 30, 27, 13, 40, 29, 32, 17, 3, 39, 1, 9, 2, 35, 47, 46, 25, 15, 14, 33, 19, 16, 11]
2.44;3742;15591;[0, 37, 14, 49, 23, 45, 17, 6, 29, 25, 1, 20, 38, 3, 41, 27, 13, 28, 21, 33, 47, 43, 12, 34, 16]
2.33;3661;15704;[0, 19, 47, 30, 45, 29, 36, 33, 3, 2, 35, 27, 10, 41, 16, 28, 15, 14, 21, 31, 6, 23, 18, 12]
2.22;3451;15607;[0, 23, 18, 35, 30, 44, 41, 16, 6, 49, 22, 12, 14, 27, 19, 24, 42, 40, 32, 47, 15, 45]
2.32;3670;15780;[0, 22, 17, 6, 23, 29, 28, 21, 14, 49, 45, 35, 41, 12, 3, 13, 4, 27, 24, 1, 15, 16, 11, 33]
2.38;3689;15832;[0, 44, 45, 49, 29, 43, 17, 31, 12, 23, 9, 7, 40, 6, 37, 25, 15, 30, 21, 19, 27, 4, 41, 16]
2.36;3667;15896;[0, 22, 17, 6, 9, 4, 25, 32, 47, 37, 19, 21, 36, 33, 3, 35, 41, 7, 10, 44, 23, 18, 43, 12]
2.38;3781;15752;[0, 23, 45, 35, 18, 9, 7, 32, 5, 33, 24, 10, 44, 39, 25, 4, 47, 46, 13, 40, 43, 22, 42, 31, 21]
2.49;3736;15536;[0, 23, 18, 35, 30, 1, 12, 34, 2, 32, 5, 25, 15, 41, 16, 28, 45, 38, 3, 39, 6, 14, 7, 26, 24]
2.38;3642;16127;[0, 6, 23, 36, 27, 33, 31, 30, 4, 5, 25, 18, 35, 41, 32, 7, 40, 3, 38, 29, 46, 28, 15, 16]
2.49;3805;16492;[0, 42, 25, 1, 34, 7, 40, 23, 18, 35, 41, 27, 19, 21, 47, 9, 30, 48, 17, 44, 6, 49, 26, 13, 11]
2.31;3725;15622;[0, 6, 49, 45, 19, 1, 9, 33, 42, 36, 13, 29, 43, 35, 41, 10, 44, 39, 17, 34, 23, 40, 26, 18]
2.35;3677;15535;[0, 23, 18, 9, 44, 29, 43, 1, 46, 47, 33, 36, 35, 22, 12, 3, 13, 4, 30, 16, 11, 25, 7, 21]
2.30;3633;15725;[0, 8, 13, 40, 15, 30, 27, 39, 34, 12, 9, 7, 41, 2, 35, 42, 11, 33, 3, 49, 29, 46, 19, 21]
2.18;3422;15570;[0, 37, 36, 15, 45, 38, 29, 32, 17, 6, 23, 40, 18, 12, 3, 24, 9, 2, 35, 27, 46, 33]
2.47;3711;16360;[0, 20, 27, 34, 35, 41, 2, 12, 23, 3, 39, 6, 16, 11, 31, 21, 14, 33, 24, 40, 15, 25, 18, 17, 28, 45]
2.31;3672;16054;[0, 11, 25, 4, 8, 32, 33, 18, 35, 41, 27, 10, 44, 39, 6, 49, 23, 40, 3, 24, 1, 29, 43, 22]
2.38;3680;15551;[0, 33, 47, 4, 30, 27, 24, 10, 8, 35, 16, 36, 19, 38, 29, 46, 25, 1, 15, 31, 44, 23, 3, 39, 48]
2.44;3788;17468;[0, 42, 35, 47, 9, 16, 14, 24, 40, 41, 44, 6, 49, 29, 22, 3, 39, 37, 25, 15, 45, 38, 20, 27, 19, 21]
2.34;3681;15839;[0, 37, 21, 36, 33, 14, 49, 26, 18, 24, 1, 29, 25, 12, 20, 27, 39, 44, 6, 3, 13, 9, 7, 23]
2.47;3892;16263;[0, 48, 3, 30, 35, 27, 13, 9, 19, 21, 38, 23, 18, 41, 7, 43, 6, 16, 36, 33, 47, 46, 22, 28, 31, 11]
2.41;3642;15912;[0, 20, 49, 3, 38, 44, 29, 5, 36, 33, 31, 11, 22, 39, 28, 25, 4, 30, 35, 13, 9, 18, 40, 41, 10]
2.26;3566;15819;[0, 42, 40, 37, 18, 15, 31, 24, 12, 48, 3, 38, 29, 49, 9, 27, 30, 44, 13, 1, 34, 7, 21]
2.29;3579;15610;[0, 37, 3, 24, 34, 27, 13, 46, 45, 35, 7, 32, 47, 4, 20, 49, 9, 33, 42, 40, 23, 18, 12]
2.47;3702;15584;[0, 42, 47, 46, 25, 15, 45, 30, 1, 12, 9, 27, 21, 31, 40, 3, 7, 32, 33, 36, 2, 35, 22, 17, 48]
2.33;3632;15880;[0, 22, 12, 3, 41, 27, 33, 24, 14, 7, 10, 44, 6, 23, 18, 40, 15, 25, 1, 45, 30, 48, 28, 21]
