duration(s);cost;bonus;route
9.96;6846;31295;[0, 53, 99, 74, 45, 80, 84, 5, 43, 69, 72, 11, 50, 7, 21, 14, 60, 90, 28, 34, 63, 70, 83, 73, 86, 87, 68, 49, 22, 38, 52, 1, 77, 58, 97, 42, 10, 85, 31, 25, 62, 96, 32, 13, 6, 41, 8, 54]
9.65;6844;31308;[0, 35, 6, 51, 96, 23, 64, 8, 69, 12, 72, 80, 13, 63, 87, 95, 81, 68, 70, 83, 65, 1, 52, 46, 29, 66, 88, 79, 75, 43, 89, 33, 78, 18, 10, 59, 99, 74, 9, 21, 90, 50, 20, 36, 92, 57]
9.64;6776;31624;[0, 35, 68, 23, 91, 78, 18, 15, 7, 9, 62, 96, 28, 81, 56, 1, 5, 71, 52, 13, 49, 10, 82, 59, 50, 73, 30, 64, 16, 88, 97, 44, 83, 65, 69, 72, 14, 60, 41, 25, 40, 29, 66, 99, 63, 93]
9.80;6943;31216;[0, 17, 76, 29, 16, 48, 94, 8, 44, 31, 25, 38, 18, 15, 77, 33, 36, 92, 10, 83, 65, 69, 13, 49, 57, 34, 54, 47, 80, 22, 67, 53, 87, 68, 81, 75, 99, 12, 72, 64, 98, 23, 58, 97, 21, 90, 60, 35]
9.75;6766;31297;[0, 17, 1, 61, 7, 38, 95, 71, 41, 39, 79, 28, 90, 14, 72, 11, 50, 85, 40, 29, 8, 86, 76, 2, 64, 30, 53, 67, 84, 25, 74, 99, 82, 10, 55, 69, 65, 26, 13, 63, 87, 68, 23, 98, 22, 80]
9.84;6817;31565;[0, 45, 9, 14, 72, 11, 61, 68, 49, 30, 55, 58, 71, 95, 56, 20, 90, 85, 39, 32, 13, 38, 40, 57, 92, 36, 33, 7, 75, 99, 82, 10, 26, 65, 35, 78, 91, 86, 44, 8, 19, 18, 93, 59, 50, 22, 98, 16]
9.76;6842;31599;[0, 54, 5, 43, 69, 12, 99, 79, 39, 91, 22, 95, 87, 68, 70, 6, 13, 63, 93, 59, 82, 41, 16, 98, 23, 58, 55, 30, 49, 14, 72, 80, 37, 2, 51, 27, 44, 29, 40, 38, 52, 34, 26, 10, 36, 4, 90, 53]
10.06;6844;31475;[0, 59, 49, 62, 25, 57, 92, 10, 82, 99, 53, 67, 60, 20, 64, 23, 98, 42, 43, 4, 66, 88, 16, 48, 83, 65, 69, 72, 63, 46, 29, 8, 15, 77, 1, 52, 34, 95, 87, 18, 61, 91, 22, 38, 19, 79, 32, 45]
9.89;6963;31265;[0, 6, 35, 37, 89, 94, 58, 97, 21, 59, 17, 1, 56, 20, 50, 90, 28, 47, 91, 22, 27, 44, 8, 36, 4, 43, 42, 10, 92, 72, 69, 98, 62, 29, 40, 38, 18, 88, 51, 25, 31, 41, 99, 63, 32, 3, 73, 54]
9.88;6909;31404;[0, 54, 26, 10, 71, 58, 23, 30, 49, 62, 65, 32, 14, 37, 46, 29, 16, 64, 6, 3, 43, 42, 17, 38, 22, 91, 78, 7, 92, 11, 20, 90, 2, 51, 85, 50, 53, 28, 70, 68, 87, 8, 94, 74, 99, 63, 93, 59]
9.72;6829;31495;[0, 80, 55, 10, 92, 7, 75, 96, 67, 53, 56, 95, 11, 50, 20, 14, 83, 66, 88, 49, 68, 98, 23, 58, 97, 3, 32, 13, 63, 93, 59, 52, 46, 40, 85, 24, 65, 2, 5, 25, 74, 99, 79, 19, 18, 78, 35]
9.77;6709;31409;[0, 80, 47, 55, 69, 72, 14, 32, 85, 31, 88, 49, 30, 93, 18, 87, 50, 7, 33, 89, 70, 83, 71, 8, 64, 16, 29, 3, 97, 24, 11, 20, 60, 35, 6, 13, 52, 38, 36, 28, 79, 99, 82, 59, 17, 25, 57]
9.61;6718;31543;[0, 45, 9, 74, 93, 63, 13, 6, 64, 67, 20, 50, 22, 38, 25, 31, 85, 40, 46, 75, 99, 41, 77, 58, 83, 48, 17, 1, 65, 62, 15, 7, 92, 10, 26, 14, 21, 97, 3, 66, 88, 79, 28, 81, 68, 35]
9.93;6970;31730;[0, 54, 51, 97, 3, 43, 4, 59, 99, 53, 56, 95, 34, 63, 70, 6, 13, 52, 1, 66, 83, 71, 8, 44, 7, 33, 30, 55, 10, 18, 25, 31, 85, 40, 57, 69, 98, 16, 35, 60, 67, 22, 91, 61, 80, 90, 20, 77, 24, 45]
9.73;6898;31251;[0, 54, 95, 87, 86, 69, 19, 79, 28, 64, 67, 63, 13, 43, 89, 35, 78, 33, 66, 88, 16, 48, 71, 10, 82, 59, 50, 85, 39, 62, 96, 75, 7, 9, 31, 61, 11, 72, 14, 77, 58, 55, 30, 49, 68, 81, 84, 25, 57]
9.82;6842;31282;[0, 17, 1, 52, 13, 6, 2, 37, 57, 92, 10, 85, 40, 38, 95, 56, 20, 90, 50, 73, 30, 77, 14, 72, 12, 69, 43, 81, 84, 83, 29, 46, 63, 93, 78, 91, 47, 60, 41, 82, 8, 15, 7, 44, 31, 25, 62]
9.86;6799;31332;[0, 83, 33, 52, 38, 13, 63, 87, 95, 81, 43, 30, 55, 58, 94, 9, 11, 20, 36, 86, 69, 19, 28, 34, 80, 22, 16, 29, 40, 1, 5, 31, 12, 72, 14, 21, 97, 51, 85, 39, 79, 75, 10, 59, 93, 17]
9.87;6814;31537;[0, 54, 84, 80, 61, 91, 47, 66, 29, 46, 63, 98, 23, 64, 78, 35, 6, 41, 71, 52, 13, 38, 22, 49, 36, 92, 10, 75, 7, 44, 86, 2, 90, 28, 34, 26, 65, 62, 25, 74, 99, 79, 88, 58, 97, 3, 12, 59, 17]
