duration(s);cost;bonus;route
9.22;6961;31343;[0, 59, 93, 63, 98, 42, 97, 73, 54, 35, 89, 70, 83, 65, 62, 82, 74, 94, 58, 55, 75, 99, 79, 88, 66, 76, 52, 71, 72, 80, 61, 91, 86, 69, 57, 92, 95, 87, 68, 81, 84, 85, 96, 90, 60, 67, 64, 56, 53]
9.20;7039;31304;[0, 93, 79, 99, 75, 72, 80, 65, 83, 70, 89, 71, 62, 96, 85, 61, 91, 78, 64, 67, 53, 56, 81, 68, 87, 86, 69, 57, 92, 95, 54, 73, 97, 42, 98, 63, 82, 74, 94, 88, 66, 90, 60, 55, 58, 77, 1, 52, 59]
9.24;7032;31243;[0, 54, 51, 97, 58, 77, 86, 73, 60, 67, 64, 98, 42, 71, 72, 80, 84, 56, 81, 68, 61, 91, 78, 88, 66, 83, 65, 62, 96, 85, 90, 75, 55, 69, 57, 92, 95, 87, 53, 99, 79, 93, 63, 82, 74, 94, 89, 70, 52, 59]
9.24;6978;31378;[0, 93, 63, 82, 59, 52, 76, 86, 73, 67, 64, 78, 91, 77, 58, 55, 75, 72, 71, 62, 53, 56, 81, 68, 87, 95, 54, 89, 94, 74, 99, 79, 88, 66, 57, 92, 10, 70, 83, 65, 69, 98, 42, 97, 51, 85, 96, 90, 80]
9.25;7037;31243;[0, 80, 61, 68, 81, 56, 84, 54, 73, 86, 77, 58, 97, 51, 91, 78, 88, 66, 83, 65, 62, 96, 85, 90, 60, 67, 64, 98, 42, 71, 72, 75, 55, 69, 57, 92, 95, 87, 53, 99, 79, 93, 63, 82, 74, 94, 89, 70, 52, 59]
9.22;6944;31327;[0, 59, 52, 70, 68, 81, 89, 94, 74, 82, 63, 55, 58, 83, 65, 80, 61, 85, 87, 95, 54, 73, 53, 62, 71, 72, 92, 57, 69, 86, 91, 22, 98, 42, 97, 88, 79, 93, 78, 64, 67, 60, 96, 75, 99, 66, 90, 20]
9.24;6991;31277;[0, 54, 84, 81, 43, 60, 96, 85, 90, 80, 61, 91, 86, 77, 58, 55, 69, 57, 92, 95, 56, 64, 67, 53, 87, 68, 70, 52, 76, 66, 88, 79, 99, 75, 72, 71, 62, 65, 83, 73, 97, 42, 98, 94, 74, 82, 63, 93, 59]
9.21;7015;31318;[0, 80, 90, 66, 88, 79, 75, 96, 85, 31, 91, 78, 64, 56, 53, 99, 74, 94, 98, 42, 77, 58, 55, 69, 86, 76, 52, 70, 83, 65, 62, 71, 72, 97, 73, 54, 95, 87, 68, 81, 84, 60, 67, 63, 93, 59, 82, 92, 57]
9.22;7047;31411;[0, 54, 73, 86, 55, 69, 57, 92, 95, 87, 18, 61, 80, 90, 85, 96, 60, 67, 64, 98, 42, 97, 58, 71, 72, 75, 79, 88, 78, 91, 76, 66, 83, 65, 62, 53, 56, 84, 81, 68, 70, 89, 94, 74, 99, 52, 59, 82, 63, 93]
9.24;7029;31780;[0, 59, 52, 70, 63, 82, 74, 94, 83, 65, 62, 96, 85, 90, 67, 60, 73, 54, 95, 87, 53, 56, 64, 84, 81, 68, 98, 42, 97, 61, 80, 72, 71, 10, 92, 57, 69, 86, 76, 66, 88, 78, 91, 77, 58, 55, 75, 99, 79, 93]
